411007	10	8	6	10	10	10	3	10
411052	8	10	6	10	10	8	3	8
411052	10	8	10	10	10	10	3	6
411041	6	8	2	6	6	4	1	4
411052	6	8	6	8	8	6	3	6
411038	10	10	10	10	10	10	3	6
411004	8	6	4	8	8	6	2	8
411038	8	8	4	8	8	8	1	6
411038	8	8	4	10	10	10	2	6
411038	8	6	6	8	10	6	2	8
411052	6	6	6	8	10	6	2	8
411033	6	6	4	8	6	4	1	6
411058	10	8	8	10	10	10	3	6
411007	8	8	8	10	10	8	3	8
411037	8	6	6	8	8	10	4	6
411058	10	2	8	10	8	10	3	6
411021	8	8	8	10	10	10	2	6
411052	8	10	10	10	8	6	3	6
411007	10	8	4	8	6	6	4	8
411041	6	8	2	10	10	10	2	6
411016	8	10	10	10	8	6	3	8
411016	8	10	8	10	8	8	4	6
411038	8	8	6	8	8	6	4	6
411016	8	4	4	10	10	10	3	8
411021	6	6	8	8	6	6	2	6
411038	8	10	8	8	8	6	2	6
411041	8	10	8	10	10	10	4	6
411002	6	6	6	8	6	6	3	6
411038	8	8	6	10	8	10	2	6
411016	6	4	6	6	4	4	3	6
411004	8	4	6	10	10	8	2	8
411008	8	4	8	10	10	8	4	8
411016	10	6	4	10	10	6	2	6
411029	8	4	8	8	8	6	4	6
411030	8	8	8	10	8	6	2	6
411002	4	4	6	6	6	4	2	6
411015	6	6	6	6	6	6	2	6
411004	8	6	6	8	8	8	2	6
411016	8	6	4	8	8	6	3	8
411038	10	10	4	10	10	10	4	6
411007	8	8	8	10	6	8	4	8
411015	8	8	8	10	10	8	2	6
411038	8	6	6	6	8	8	3	8
411009	4	6	6	8	6	6	1	6
411004	8	6	8	10	10	10	2	8
411016	8	10	10	6	8	8	2	10
411038	8	10	8	10	10	8	2	6
411052	6	8	10	6	8	4	3	6
411004	8	10	4	10	10	8	2	8
411041	8	6	6	10	8	8	3	8
411016	8	8	8	10	10	8	2	8
411016	6	10	6	10	10	10	1	8
411007	8	10	4	10	10	10	4	6
411038	8	10	6	10	10	8	3	6
411045	8	6	6	10	10	6	3	6
411045	6	8	6	10	8	8	3	8
411033	2	2	6	4	6	2	1	6
411016	10	6	10	10	10	10	4	8
411058	6	10	8	10	8	10	3	6
411007	10	10	10	10	10	10	4	8
411007	10	10	4	10	10	10	3	8
411004	10	10	8	10	10	10	3	8
411052	10	6	10	10	10	8	3	8
411037	6	10	8	8	8	6	2	6
411051	8	10	10	8	10	8	3	6
411009	8	4	10	8	8	6	4	6
411048	8	8	8	10	10	10	3	6
411041	8	4	2	10	8	8	1	8
411041	4	10	8	10	6	4	4	6
411021	10	8	8	8	8	10	3	6
411038	8	10	10	10	10	10	4	8
411046	10	8	8	6	8	8	2	6
411038	8	8	6	10	8	8	3	6
411004	10	10	10	10	10	10	3	6
411016	4	4	6	4	4	4	3	6
411052	10	10	8	10	8	8	3	6
411016	10	8	10	10	10	8	3	6
411007	8	6	8	10	10	8	2	6
411014	10	10	2	10	10	10	3	6
411007	10	6	8	10	10	10	3	8
411038	8	8	6	8	10	10	3	6
411038	8	10	8	8	8	4	3	6
411052	8	8	2	8	8	8	1	6
411052	8	8	8	10	10	10	1	6
411030	6	8	10	10	10	8	4	6
411007	8	8	4	10	10	10	3	6
411041	8	10	4	8	10	8	3	6
411038	10	10	2	10	10	10	4	6
411058	8	8	10	10	8	8	2	6
411030	8	8	8	8	8	8	3	6
411038	8	6	4	10	10	8	3	6
411016	8	10	10	10	8	8	2	6
411007	10	10	6	10	10	8	4	10
411045	8	6	4	10	8	10	4	6
411008	10	8	6	10	10	8	4	6
411030	8	8	8	10	10	10	2	6
411043	6	10	8	10	6	8	4	4
411007	6	10	10	8	8	10	3	8
411007	8	10	6	10	8	6	2	6
411021	8	8	6	10	8	10	4	6
411052	6	10	10	10	8	10	2	8
411016	10	10	6	10	10	10	4	6
411007	8	8	8	10	10	10	3	8
411027	10	8	8	8	10	8	3	8
411033	8	4	2	6	6	8	4	4
411058	8	10	10	10	10	10	4	6
411038	10	8	4	10	10	10	3	6
411027	10	6	6	8	8	6	3	6
411027	8	6	6	10	10	8	2	6
411016	8	10	8	8	8	8	2	8
411007	10	10	6	10	10	10	2	6
411004	10	8	4	10	10	10	3	8
411029	8	4	8	10	10	6	2	8
411051	8	4	10	10	8	4	3	6
411016	10	8	10	8	10	8	3	8
411037	8	10	4	10	8	8	1	6
411021	10	8	8	10	10	10	3	6
411018	8	10	10	8	8	8	2	6
411004	10	8	8	8	10	6	4	8
411027	8	8	8	8	8	8	4	8
411051	6	2	2	10	10	4	4	6
411007	6	6	10	10	10	4	2	8
411051	10	10	8	10	10	10	2	6
411017	10	10	10	10	10	8	2	6
411027	6	10	2	6	6	8	2	6
411058	8	10	10	8	8	10	4	6
411027	4	8	2	6	8	8	2	6
